iter	Passed	Remaining
0	686	1028707
1	1351	1011992
2	1969	982766
3	2675	1000450
4	3755	1123013
5	5369	1336916
6	6809	1452436
7	8281	1544469
8	9886	1637809
9	11511	1715260
10	12502	1692325
11	13147	1630327
12	13812	1579920
13	14407	1529297
14	14987	1483740
15	15518	1439385
16	16085	1403244
17	16716	1376365
18	17389	1355440
19	18133	1341890
20	18813	1325025
21	19563	1314291
22	20311	1304322
